CAGDP1 County and MSA gross domestic product (GDP) summary,,,,,,,,,,
CAGDP1 County and MSA gross domestic product (GDP) summary,,,,,,,,,,
County,,,,,,,,,,
GeoFips,GeoName,LineCode,Description,2017,2018,2019,2020,2021,2022,2023
40035,"Craig, OK",3,Current-dollar GDP (thousands of current dollars),469879,486186,496254,469034,498905,544651,584265
40037,"Creek, OK",1,Real GDP (thousands of chained 2017 dollars),1915029,2020644,2101765,1953529,2058713,1980079,2153096
40037,"Creek, OK",2,Chain-type quantity indexes for real GDP,100,105.515,109.751,102.01,107.503,103.397,112.432
40037,"Creek, OK",3,Current-dollar GDP (thousands of current dollars),1915029,2091903,2197814,2038833,2313472,2488351,2741552
40039,"Custer, OK",1,Real GDP (thousands of chained 2017 dollars),1442536,1536142,1707142,1518378,1502052,1533849,1707889
40039,"Custer, OK",2,Chain-type quantity indexes for real GDP,100,106.489,118.343,105.258,104.126,106.33,118.395
40039,"Custer, OK",3,Current-dollar GDP (thousands of current dollars),1442536,1613124,1710573,1378210,1708219,2149271,2083071
40041,"Delaware, OK",1,Real GDP (thousands of chained 2017 dollars),944803,954283,934591,833870,893210,1004743,1028925
40041,"Delaware, OK",2,Chain-type quantity indexes for real GDP,100,101.003,98.919,88.259,94.539,106.344,108.904
40041,"Delaware, OK",3,Current-dollar GDP (thousands of current dollars),944803,966690,965969,885669,1006119,1239172,1306384
40043,"Dewey, OK",1,Real GDP (thousands of chained 2017 dollars),564255,674231,811369,624230,576178,598892,742089
40043,"Dewey, OK",2,Chain-type quantity indexes for real GDP,100,119.491,143.795,110.629,102.113,106.139,131.517
40043,"Dewey, OK",3,Current-dollar GDP (thousands of current dollars),564255,770929,773367,452900,659066,972440,871156
40045,"Ellis, OK",1,Real GDP (thousands of chained 2017 dollars),499975,538264,678011,588129,498177,503210,863228
40045,"Ellis, OK",2,Chain-type quantity indexes for real GDP,100,107.658,135.609,117.632,99.64,100.647,172.654
40045,"Ellis, OK",3,Current-dollar GDP (thousands of current dollars),499975,613974,636594,403132,604579,907442,1019892
40047,"Garfield, OK",1,Real GDP (thousands of chained 2017 dollars),2849100,2805923,2843513,2678999,2950916,2892301,3088603
40047,"Garfield, OK",2,Chain-type quantity indexes for real GDP,100,98.485,99.804,94.03,103.574,101.516,108.406
40047,"Garfield, OK",3,Current-dollar GDP (thousands of current dollars),2849100,2901868,2931128,2727076,3271961,3538129,3804621
40049,"Garvin, OK",1,Real GDP (thousands of chained 2017 dollars),1417931,1584691,2021642,1841576,1726956,1559661,1836216
40049,"Garvin, OK",2,Chain-type quantity indexes for real GDP,100,111.761,142.577,129.878,121.794,109.996,129.5
40049,"Garvin, OK",3,Current-dollar GDP (thousands of current dollars),1417931,1768557,1972708,1423027,2017891,2562662,2200422
40051,"Grady, OK",1,Real GDP (thousands of chained 2017 dollars),2382328,2670047,3124167,3002719,2857652,3281442,4009684
40051,"Grady, OK",2,Chain-type quantity indexes for real GDP,100,112.077,131.139,126.041,119.952,137.741,168.309
40051,"Grady, OK",3,Current-dollar GDP (thousands of current dollars),2382328,3007144,3000392,2226385,3460655,5828545,4752631
40053,"Grant, OK",1,Real GDP (thousands of chained 2017 dollars),294611,252291,297106,290364,279832,272139,302953
40053,"Grant, OK",2,Chain-type quantity indexes for real GDP,100,85.635,100.847,98.558,94.983,92.372,102.832
40053,"Grant, OK",3,Current-dollar GDP (thousands of current dollars),294611,271210,301612,271979,315028,369761,378245
40055,"Greer, OK",1,Real GDP (thousands of chained 2017 dollars),98592,97760,97318,94704,90855,99860,105825
40055,"Greer, OK",2,Chain-type quantity indexes for real GDP,100,99.156,98.708,96.057,92.152,101.286,107.336
40055,"Greer, OK",3,Current-dollar GDP (thousands of current dollars),98592,99757,101329,101842,105390,126999,135108
40057,"Harmon, OK",1,Real GDP (thousands of chained 2017 dollars),79360,71209,82988,76012,76708,95401,107354
40057,"Harmon, OK",2,Chain-type quantity indexes for real GDP,100,89.729,104.571,95.781,96.658,120.213,135.275
40057,"Harmon, OK",3,Current-dollar GDP (thousands of current dollars),79360,71945,85090,79083,88172,125263,136260
40059,"Harper, OK",1,Real GDP (thousands of chained 2017 dollars),275843,283526,255980,210853,196192,192136,232575
40059,"Harper, OK",2,Chain-type quantity indexes for real GDP,100,102.785,92.799,76.439,71.124,69.654,84.314
40059,"Harper, OK",3,Current-dollar GDP (thousands of current dollars),275843,284987,248283,192005,240604,302956,317711
40061,"Haskell, OK",1,Real GDP (thousands of chained 2017 dollars),359522,350085,348288,322117,344171,348974,364524
40061,"Haskell, OK",2,Chain-type quantity indexes for real GDP,100,97.375,96.875,89.596,95.73,97.066,101.391
40061,"Haskell, OK",3,Current-dollar GDP (thousands of current dollars),359522,356401,354270,322777,398298,471439,470261
40063,"Hughes, OK",1,Real GDP (thousands of chained 2017 dollars),718775,760038,879697,730460,821480,690059,688541
40063,"Hughes, OK",2,Chain-type quantity indexes for real GDP,100,105.741,122.388,101.626,114.289,96.005,95.794
40063,"Hughes, OK",3,Current-dollar GDP (thousands of current dollars),718775,809294,833913,573335,1024159,1224257,906152
40065,"Jackson, OK",1,Real GDP (thousands of chained 2017 dollars),1037503,1012174,1068003,1056806,1101465,1165304,1183034
40065,"Jackson, OK",2,Chain-type quantity indexes for real GDP,100,97.559,102.94,101.861,106.165,112.318,114.027
40065,"Jackson, OK",3,Current-dollar GDP (thousands of current dollars),1037503,1037344,1120323,1141922,1240257,1398403,1473951
40067,"Jefferson, OK",1,Real GDP (thousands of chained 2017 dollars),123191,127299,123256,123320,104694,118108,128845
40067,"Jefferson, OK",2,Chain-type quantity indexes for real GDP,100,103.335,100.053,100.105,84.985,95.874,104.59
40067,"Jefferson, OK",3,Current-dollar GDP (thousands of current dollars),123191,130708,125417,124204,117370,148168,156586
40069,"Johnston, OK",1,Real GDP (thousands of chained 2017 dollars),425043,469210,475014,466237,449573,480965,544868
40069,"Johnston, OK",2,Chain-type quantity indexes for real GDP,100,110.391,111.757,109.692,105.771,113.157,128.191
40069,"Johnston, OK",3,Current-dollar GDP (thousands of current dollars),425043,487524,484700,462064,504732,620250,665407
40071,"Kay, OK",1,Real GDP (thousands of chained 2017 dollars),1812598,1805469,1815808,1791597,1863576,1869539,1882932
40071,"Kay, OK",2,Chain-type quantity indexes for real GDP,100,99.607,100.177,98.841,102.812,103.141,103.88
40071,"Kay, OK",3,Current-dollar GDP (thousands of current dollars),1812598,1843853,1880936,1876574,2065683,2245329,2317111
40073,"Kingfisher, OK",1,Real GDP (thousands of chained 2017 dollars),2160955,1830152,3041233,2912209,2327061,2534870,2945349
40073,"Kingfisher, OK",2,Chain-type quantity indexes for real GDP,100,84.692,140.736,134.765,107.687,117.303,136.298
40073,"Kingfisher, OK",3,Current-dollar GDP (thousands of current dollars),2160955,2092162,2883008,1946903,2743208,4458287,3333078
40075,"Kiowa, OK",1,Real GDP (thousands of chained 2017 dollars),249184,218831,245080,247259,240929,247175,225878
40075,"Kiowa, OK",2,Chain-type quantity indexes for real GDP,100,87.819,98.353,99.227,96.687,99.194,90.647
40075,"Kiowa, OK",3,Current-dollar GDP (thousands of current dollars),249184,222555,253088,257789,283963,331643,299789
40077,"Latimer, OK",1,Real GDP (thousands of chained 2017 dollars),344662,314220,325953,320112,303093,280100,288018
40077,"Latimer, OK",2,Chain-type quantity indexes for real GDP,100,91.168,94.572,92.877,87.939,81.268,83.565
40077,"Latimer, OK",3,Current-dollar GDP (thousands of current dollars),344662,343254,328048,279929,365916,443356,377324
40079,"Le Flore, OK",1,Real GDP (thousands of chained 2017 dollars),1456102,1486021,1424112,1304964,1329090,1385389,1386875
40079,"Le Flore, OK",2,Chain-type quantity indexes for real GDP,100,102.055,97.803,89.62,91.277,95.144,95.246
40079,"Le Flore, OK",3,Current-dollar GDP (thousands of current dollars),1456102,1515272,1467731,1365457,1494735,1708008,1718768
40081,"Lincoln, OK",1,Real GDP (thousands of chained 2017 dollars),773458,826024,884789,846849,863740,759142,785807
40081,"Lincoln, OK",2,Chain-type quantity indexes for real GDP,100,106.796,114.394,109.489,111.673,98.149,101.597
40081,"Lincoln, OK",3,Current-dollar GDP (thousands of current dollars),773458,862078,927976,885479,974787,965999,992941
40083,"Logan, OK",1,Real GDP (thousands of chained 2017 dollars),863075,866793,930467,867275,883145,891854,963342
40083,"Logan, OK",2,Chain-type quantity indexes for real GDP,100,100.431,107.808,100.487,102.325,103.334,111.617
40083,"Logan, OK",3,Current-dollar GDP (thousands of current dollars),863075,911793,952823,855115,992512,1149821,1200085
40085,"Love, OK",1,Real GDP (thousands of chained 2017 dollars),581418,577873,613811,620658,607976,653242,756985
40085,"Love, OK",2,Chain-type quantity indexes for real GDP,100,99.39,105.571,106.749,104.568,112.353,130.196
40085,"Love, OK",3,Current-dollar GDP (thousands of current dollars),581418,617021,625292,589888,722446,975894,917871
40087,"McClain, OK",1,Real GDP (thousands of chained 2017 dollars),1148876,1343466,1671142,1600232,1506072,1512077,2034730
40087,"McClain, OK",2,Chain-type quantity indexes for real GDP,100,116.937,145.459,139.287,131.091,131.614,177.106
40087,"McClain, OK",3,Current-dollar GDP (thousands of current dollars),1148876,1426671,1645207,1386455,1715404,2188888,2408355
40089,"McCurtain, OK",1,Real GDP (thousands of chained 2017 dollars),1133831,1074341,1055271,1077037,1205703,1274799,1309248
40089,"McCurtain, OK",2,Chain-type quantity indexes for real GDP,100,94.753,93.071,94.991,106.339,112.433,115.471
40089,"McCurtain, OK",3,Current-dollar GDP (thousands of current dollars),1133831,1097705,1096720,1159835,1425345,1630669,1694911
40091,"McIntosh, OK",1,Real GDP (thousands of chained 2017 dollars),352791,354812,398410,394509,387779,378760,381272
40091,"McIntosh, OK",2,Chain-type quantity indexes for real GDP,100,100.573,112.931,111.825,109.917,107.361,108.073
40091,"McIntosh, OK",3,Current-dollar GDP (thousands of current dollars),352791,364433,415538,417646,452063,490824,491582
40093,"Major, OK",1,Real GDP (thousands of chained 2017 dollars),437504,486817,697108,509412,451730,433306,568626
40093,"Major, OK",2,Chain-type quantity indexes for real GDP,100,111.272,159.338,116.436,103.252,99.041,129.97
40093,"Major, OK",3,Current-dollar GDP (thousands of current dollars),437504,546800,659811,357092,519251,714375,669451
40095,"Marshall, OK",1,Real GDP (thousands of chained 2017 dollars),487012,472875,532943,519108,524738,549336,592068
40095,"Marshall, OK",2,Chain-type quantity indexes for real GDP,100,97.097,109.431,106.59,107.746,112.797,121.571
40095,"Marshall, OK",3,Current-dollar GDP (thousands of current dollars),487012,494639,545090,502668,586111,702469,712109
40097,"Mayes, OK",1,Real GDP (thousands of chained 2017 dollars),1567421,1838964,1881653,1918011,1895062,1971762,2187525
40097,"Mayes, OK",2,Chain-type quantity indexes for real GDP,100,117.324,120.048,122.367,120.903,125.797,139.562
40097,"Mayes, OK",3,Current-dollar GDP (thousands of current dollars),1567421,1882264,1951717,1999527,2108890,2371080,2715111
40099,"Murray, OK",1,Real GDP (thousands of chained 2017 dollars),544781,556314,523669,499143,481298,509446,583952
40099,"Murray, OK",2,Chain-type quantity indexes for real GDP,100,102.117,96.125,91.623,88.347,93.514,107.19
40099,"Murray, OK",3,Current-dollar GDP (thousands of current dollars),544781,571586,547884,532599,547498,628209,720363
40101,"Muskogee, OK",1,Real GDP (thousands of chained 2017 dollars),3247965,3017841,2783947,2747530,2787119,2817199,2854516
40101,"Muskogee, OK",2,Chain-type quantity indexes for real GDP,100,92.915,85.714,84.592,85.811,86.737,87.886
40101,"Muskogee, OK",3,Current-dollar GDP (thousands of current dollars),3247965,3091975,2915564,2940702,3125813,3391495,3608487
40103,"Noble, OK",1,Real GDP (thousands of chained 2017 dollars),692570,732872,735796,628784,641775,623443,610129
40103,"Noble, OK",2,Chain-type quantity indexes for real GDP,100,105.819,106.241,90.79,92.666,90.019,88.096
40103,"Noble, OK",3,Current-dollar GDP (thousands of current dollars),692570,757746,769557,651303,729711,808485,787231
40105,"Nowata, OK",1,Real GDP (thousands of chained 2017 dollars),178139,174959,183265,185421,185808,201338,218535
40105,"Nowata, OK",2,Chain-type quantity indexes for real GDP,100,98.215,102.877,104.088,104.305,113.023,122.677
40105,"Nowata, OK",3,Current-dollar GDP (thousands of current dollars),178139,182050,191445,192641,209000,241607,263835
40107,"Okfuskee, OK",1,Real GDP (thousands of chained 2017 dollars),227096,237081,262050,233296,235981,218219,241215
40107,"Okfuskee, OK",2,Chain-type quantity indexes for real GDP,100,104.397,115.392,102.73,103.912,96.091,106.217
40107,"Okfuskee, OK",3,Current-dollar GDP (thousands of current dollars),227096,246835,271441,238109,265477,274780,292423
40109,"Oklahoma, OK",1,Real GDP (thousands of chained 2017 dollars),55834212,57157846,57021005,55375412,55601753,54285021,56681593
40109,"Oklahoma, OK",2,Chain-type quantity indexes for real GDP,100,102.371,102.126,99.178,99.584,97.225,101.518
40109,"Oklahoma, OK",3,Current-dollar GDP (thousands of current dollars),55834212,59141667,59082248,57227726,61624496,65198953,70325286
40111,"Okmulgee, OK",1,Real GDP (thousands of chained 2017 dollars),854973,848895,851814,859587,823614,869598,897040
40111,"Okmulgee, OK",2,Chain-type quantity indexes for real GDP,100,99.289,99.631,100.54,96.332,101.711,104.92
40111,"Okmulgee, OK",3,Current-dollar GDP (thousands of current dollars),854973,870277,890587,927799,928338,1040884,1117494
40113,"Osage, OK",1,Real GDP (thousands of chained 2017 dollars),956395,948320,1021892,909603,987194,923987,1109809
40113,"Osage, OK",2,Chain-type quantity indexes for real GDP,100,99.156,106.848,95.107,103.22,96.611,116.041
40113,"Osage, OK",3,Current-dollar GDP (thousands of current dollars),956395,1016554,1040601,859553,1127030,1272159,1344382
40115,"Ottawa, OK",1,Real GDP (thousands of chained 2017 dollars),1013616,1012924,1047404,1015096,1077167,1092655,1122153
40115,"Ottawa, OK",2,Chain-type quantity indexes for real GDP,100,99.932,103.333,100.146,106.27,107.798,110.708
40115,"Ottawa, OK",3,Current-dollar GDP (thousands of current dollars),1013616,1030235,1084866,1081978,1214708,1324866,1407950
40117,"Pawnee, OK",1,Real GDP (thousands of chained 2017 dollars),360160,370093,379440,346830,354053,343072,370013
40117,"Pawnee, OK",2,Chain-type quantity indexes for real GDP,100,102.758,105.353,96.299,98.304,95.255,102.736
40117,"Pawnee, OK",3,Current-dollar GDP (thousands of current dollars),360160,384234,392146,355345,396840,423107,451460
40119,"Payne, OK",1,Real GDP (thousands of chained 2017 dollars),3210165,3284039,3346984,3202116,3300369,3406515,3546777
40119,"Payne, OK",2,Chain-type quantity indexes for real GDP,100,102.301,104.262,99.749,102.81,106.117,110.486
40119,"Payne, OK",3,Current-dollar GDP (thousands of current dollars),3210165,3379324,3490466,3421515,3705699,4068933,4349014
40121,"Pittsburg, OK",1,Real GDP (thousands of chained 2017 dollars),2033381,2101139,2195804,1975110,1903136,2013568,2097353
40121,"Pittsburg, OK",2,Chain-type quantity indexes for real GDP,100,103.332,107.988,97.134,93.595,99.026,103.146
40121,"Pittsburg, OK",3,Current-dollar GDP (thousands of current dollars),2033381,2210500,2232018,1889638,2179904,2779750,2550299
40123,"Pontotoc, OK",1,Real GDP (thousands of chained 2017 dollars),1878007,1954848,2021368,2000647,2058216,2103386,2196596
40123,"Pontotoc, OK",2,Chain-type quantity indexes for real GDP,100,104.092,107.634,106.53,109.596,112.001,116.964
40123,"Pontotoc, OK",3,Current-dollar GDP (thousands of current dollars),1878007,2017252,2100430,2108583,2315705,2564945,2689389
40125,"Pottawatomie, OK",1,Real GDP (thousands of chained 2017 dollars),2126491,2095753,2284078,2181131,2492767,2179747,2221211
40125,"Pottawatomie, OK",2,Chain-type quantity indexes for real GDP,100,98.555,107.411,102.569,117.224,102.504,104.454
40125,"Pottawatomie, OK",3,Current-dollar GDP (thousands of current dollars),2126491,2150190,2380643,2314905,2795469,2660258,2803978
40127,"Pushmataha, OK",1,Real GDP (thousands of chained 2017 dollars),232605,223814,225527,242775,260366,245557,251178
40127,"Pushmataha, OK",2,Chain-type quantity indexes for real GDP,100,96.22,96.957,104.372,111.935,105.568,107.984
40127,"Pushmataha, OK",3,Current-dollar GDP (thousands of current dollars),232605,231423,236026,261341,302173,307800,319478
40129,"Roger Mills, OK",1,Real GDP (thousands of chained 2017 dollars),483349,386525,463854,396424,353495,320778,372242
40129,"Roger Mills, OK",2,Chain-type quantity indexes for real GDP,100,79.968,95.967,82.016,73.135,66.366,77.013
40129,"Roger Mills, OK",3,Current-dollar GDP (thousands of current dollars),483349,453284,441734,270923,435122,595942,449833
40131,"Rogers, OK",1,Real GDP (thousands of chained 2017 dollars),3162729,3362183,3569690,3323728,3358617,3402182,3485200
40131,"Rogers, OK",2,Chain-type quantity indexes for real GDP,100,106.306,112.867,105.091,106.194,107.571,110.196
40131,"Rogers, OK",3,Current-dollar GDP (thousands of current dollars),3162729,3439658,3751955,3573913,3769295,4164600,4484768
40133,"Seminole, OK",1,Real GDP (thousands of chained 2017 dollars),741082,766723,804648,778769,758021,728126,843897
40133,"Seminole, OK",2,Chain-type quantity indexes for real GDP,100,103.46,108.577,105.085,102.286,98.252,113.874
40133,"Seminole, OK",3,Current-dollar GDP (thousands of current dollars),741082,798142,821646,767910,844731,928064,1019985
40135,"Sequoyah, OK",1,Real GDP (thousands of chained 2017 dollars),715275,704208,788938,750561,773500,743318,757662
40135,"Sequoyah, OK",2,Chain-type quantity indexes for real GDP,100,98.453,110.298,104.933,108.14,103.921,105.926
40135,"Sequoyah, OK",3,Current-dollar GDP (thousands of current dollars),715275,722091,830185,816399,881492,914418,973767
40137,"Stephens, OK",1,Real GDP (thousands of chained 2017 dollars),1912395,1873742,2156149,2010453,2041247,1959521,2416745
40137,"Stephens, OK",2,Chain-type quantity indexes for real GDP,100,97.979,112.746,105.128,106.738,102.464,126.373
40137,"Stephens, OK",3,Current-dollar GDP (thousands of current dollars),1912395,2020923,2142335,1735380,2401291,3029153,3006105
40139,"Texas, OK",1,Real GDP (thousands of chained 2017 dollars),1823257,1821794,1884228,1761536,2005377,1699413,2000116
40139,"Texas, OK",2,Chain-type quantity indexes for real GDP,100,99.92,103.344,96.615,109.989,93.208,109.7
40139,"Texas, OK",3,Current-dollar GDP (thousands of current dollars),1823257,1822609,1848074,1684276,2302508,2267687,2556549
40141,"Tillman, OK",1,Real GDP (thousands of chained 2017 dollars),200136,176330,214511,163339,173338,172569,152106
40141,"Tillman, OK",2,Chain-type quantity indexes for real GDP,100,88.105,107.182,81.614,86.61,86.226,76.001
40141,"Tillman, OK",3,Current-dollar GDP (thousands of current dollars),200136,180615,221712,169789,193726,225525,200202
40143,"Tulsa, OK",1,Real GDP (thousands of chained 2017 dollars),43122778,44316149,42747171,40431900,42216418,42802509,44433905
40143,"Tulsa, OK",2,Chain-type quantity indexes for real GDP,100,102.767,99.129,93.76,97.898,99.257,103.04
40143,"Tulsa, OK",3,Current-dollar GDP (thousands of current dollars),43122778,45683690,44656312,42415894,46595362,51161161,55484384
40145,"Wagoner, OK",1,Real GDP (thousands of chained 2017 dollars),1264442,1284582,1367508,1396454,1329777,1305081,1452948
40145,"Wagoner, OK",2,Chain-type quantity indexes for real GDP,100,101.593,108.151,110.44,105.167,103.214,114.908
40145,"Wagoner, OK",3,Current-dollar GDP (thousands of current dollars),1264442,1313601,1443416,1514543,1506161,1601727,1886806
40147,"Washington, OK",1,Real GDP (thousands of chained 2017 dollars),3600664,3693096,3053892,2849021,2555217,2614693,3066801
40147,"Washington, OK",2,Chain-type quantity indexes for real GDP,100,102.567,84.815,79.125,70.965,72.617,85.173
40147,"Washington, OK",3,Current-dollar GDP (thousands of current dollars),3600664,4181778,3171250,2628339,2981183,3654082,3965535
40149,"Washita, OK",1,Real GDP (thousands of chained 2017 dollars),371367,325280,391541,349241,344718,343080,354581
40149,"Washita, OK",2,Chain-type quantity indexes for real GDP,100,87.59,105.432,94.042,92.824,92.383,95.48
40149,"Washita, OK",3,Current-dollar GDP (thousands of current dollars),371367,357650,389859,297267,407631,538315,446736
40151,"Woods, OK",1,Real GDP (thousands of chained 2017 dollars),703316,585085,608434,606490,552855,534734,634651
40151,"Woods, OK",2,Chain-type quantity indexes for real GDP,100,83.189,86.509,86.233,78.607,76.03,90.237
40151,"Woods, OK",3,Current-dollar GDP (thousands of current dollars),703316,661832,598938,486305,653916,851718,781128
40153,"Woodward, OK",1,Real GDP (thousands of chained 2017 dollars),1083107,1148748,1197516,1136953,1153774,1168703,1214458
40153,"Woodward, OK",2,Chain-type quantity indexes for real GDP,100,106.06,110.563,104.971,106.524,107.903,112.127
40153,"Woodward, OK",3,Current-dollar GDP (thousands of current dollars),1083107,1178706,1222035,1129173,1249803,1423342,1465145
48001,"Anderson, TX",1,Real GDP (thousands of chained 2017 dollars),1854000,1921111,1990730,1959856,2061445,2120912,2164042
48001,"Anderson, TX",2,Chain-type quantity indexes for real GDP,100,103.62,107.375,105.71,111.189,114.397,116.723
48001,"Anderson, TX",3,Current-dollar GDP (thousands of current dollars),1854000,1962740,2070808,2081041,2286544,2519003,2665254
48003,"Andrews, TX",1,Real GDP (thousands of chained 2017 dollars),2663256,2803950,2921685,2658131,2930254,2704779,4128580
48003,"Andrews, TX",2,Chain-type quantity indexes for real GDP,100,105.283,109.704,99.808,110.025,101.559,155.02
48003,"Andrews, TX",3,Current-dollar GDP (thousands of current dollars),2663256,3259174,2778306,1804344,3666701,5221398,5044405
48005,"Angelina, TX",1,Real GDP (thousands of chained 2017 dollars),3152626,3297217,3316547,3237762,3225347,3344924,3512511
