"CAINC1 County and MSA personal income summary: personal income, population, per capita personal income",,,,
"CAINC1 County and MSA personal income summary: personal income, population, per capita personal income",,,,
County,,,,
GeoFips,GeoName,LineCode,Description,2021
48151,"Fisher, TX",2,Population (persons) 1,3675
48151,"Fisher, TX",3,Per capita personal income (dollars) 2,56991
48153,"Floyd, TX",1,Personal income (thousands of dollars),282280
48153,"Floyd, TX",2,Population (persons) 1,5292
48153,"Floyd, TX",3,Per capita personal income (dollars) 2,53341
48155,"Foard, TX",1,Personal income (thousands of dollars),65780
48155,"Foard, TX",2,Population (persons) 1,1056
48155,"Foard, TX",3,Per capita personal income (dollars) 2,62292
48157,"Fort Bend, TX",1,Personal income (thousands of dollars),57604037
48157,"Fort Bend, TX",2,Population (persons) 1,860305
48157,"Fort Bend, TX",3,Per capita personal income (dollars) 2,66958
48159,"Franklin, TX",1,Personal income (thousands of dollars),539337
48159,"Franklin, TX",2,Population (persons) 1,10497
48159,"Franklin, TX",3,Per capita personal income (dollars) 2,51380
48161,"Freestone, TX",1,Personal income (thousands of dollars),878736
48161,"Freestone, TX",2,Population (persons) 1,19788
48161,"Freestone, TX",3,Per capita personal income (dollars) 2,44408
48163,"Frio, TX",1,Personal income (thousands of dollars),687975
48163,"Frio, TX",2,Population (persons) 1,17543
48163,"Frio, TX",3,Per capita personal income (dollars) 2,39216
48165,"Gaines, TX",1,Personal income (thousands of dollars),1062763
48165,"Gaines, TX",2,Population (persons) 1,21878
48165,"Gaines, TX",3,Per capita personal income (dollars) 2,48577
48167,"Galveston, TX",1,Personal income (thousands of dollars),20947057
48167,"Galveston, TX",2,Population (persons) 1,355560
48167,"Galveston, TX",3,Per capita personal income (dollars) 2,58913
48169,"Garza, TX",1,Personal income (thousands of dollars),200033
48169,"Garza, TX",2,Population (persons) 1,6269
48169,"Garza, TX",3,Per capita personal income (dollars) 2,31908
48171,"Gillespie, TX",1,Personal income (thousands of dollars),2175038
48171,"Gillespie, TX",2,Population (persons) 1,27293
48171,"Gillespie, TX",3,Per capita personal income (dollars) 2,79692
48173,"Glasscock, TX",1,Personal income (thousands of dollars),110771
48173,"Glasscock, TX",2,Population (persons) 1,1136
48173,"Glasscock, TX",3,Per capita personal income (dollars) 2,97510
48175,"Goliad, TX",1,Personal income (thousands of dollars),397618
48175,"Goliad, TX",2,Population (persons) 1,7133
48175,"Goliad, TX",3,Per capita personal income (dollars) 2,55743
48177,"Gonzales, TX",1,Personal income (thousands of dollars),1104235
48177,"Gonzales, TX",2,Population (persons) 1,19636
48177,"Gonzales, TX",3,Per capita personal income (dollars) 2,56235
48179,"Gray, TX",1,Personal income (thousands of dollars),983291
48179,"Gray, TX",2,Population (persons) 1,21128
48179,"Gray, TX",3,Per capita personal income (dollars) 2,46540
48181,"Grayson, TX",1,Personal income (thousands of dollars),7321779
48181,"Grayson, TX",2,Population (persons) 1,139563
48181,"Grayson, TX",3,Per capita personal income (dollars) 2,52462
48183,"Gregg, TX",1,Personal income (thousands of dollars),6816501
48183,"Gregg, TX",2,Population (persons) 1,124130
48183,"Gregg, TX",3,Per capita personal income (dollars) 2,54914
48185,"Grimes, TX",1,Personal income (thousands of dollars),1315069
48185,"Grimes, TX",2,Population (persons) 1,30145
48185,"Grimes, TX",3,Per capita personal income (dollars) 2,43625
48187,"Guadalupe, TX",1,Personal income (thousands of dollars),9434534
48187,"Guadalupe, TX",2,Population (persons) 1,177301
48187,"Guadalupe, TX",3,Per capita personal income (dollars) 2,53212
48189,"Hale, TX",1,Personal income (thousands of dollars),1366684
48189,"Hale, TX",2,Population (persons) 1,32208
48189,"Hale, TX",3,Per capita personal income (dollars) 2,42433
48191,"Hall, TX",1,Personal income (thousands of dollars),142696
48191,"Hall, TX",2,Population (persons) 1,2842
48191,"Hall, TX",3,Per capita personal income (dollars) 2,50210
48193,"Hamilton, TX",1,Personal income (thousands of dollars),580204
48193,"Hamilton, TX",2,Population (persons) 1,8230
48193,"Hamilton, TX",3,Per capita personal income (dollars) 2,70499
48195,"Hansford, TX",1,Personal income (thousands of dollars),401269
48195,"Hansford, TX",2,Population (persons) 1,5120
48195,"Hansford, TX",3,Per capita personal income (dollars) 2,78373
48197,"Hardeman, TX",1,Personal income (thousands of dollars),196097
48197,"Hardeman, TX",2,Population (persons) 1,3546
48197,"Hardeman, TX",3,Per capita personal income (dollars) 2,55301
48199,"Hardin, TX",1,Personal income (thousands of dollars),3026402
48199,"Hardin, TX",2,Population (persons) 1,57133
48199,"Hardin, TX",3,Per capita personal income (dollars) 2,52971
48201,"Harris, TX",1,Personal income (thousands of dollars),312302121
48201,"Harris, TX",2,Population (persons) 1,4735517
48201,"Harris, TX",3,Per capita personal income (dollars) 2,65949
48203,"Harrison, TX",1,Personal income (thousands of dollars),3286332
48203,"Harrison, TX",2,Population (persons) 1,69527
48203,"Harrison, TX",3,Per capita personal income (dollars) 2,47267
48205,"Hartley, TX",1,Personal income (thousands of dollars),459090
48205,"Hartley, TX",2,Population (persons) 1,5393
48205,"Hartley, TX",3,Per capita personal income (dollars) 2,85127
48207,"Haskell, TX",1,Personal income (thousands of dollars),252783
48207,"Haskell, TX",2,Population (persons) 1,5375
48207,"Haskell, TX",3,Per capita personal income (dollars) 2,47029
48209,"Hays, TX",1,Personal income (thousands of dollars),14583106
48209,"Hays, TX",2,Population (persons) 1,255955
48209,"Hays, TX",3,Per capita personal income (dollars) 2,56975
48211,"Hemphill, TX",1,Personal income (thousands of dollars),229510
48211,"Hemphill, TX",2,Population (persons) 1,3324
48211,"Hemphill, TX",3,Per capita personal income (dollars) 2,69046
48213,"Henderson, TX",1,Personal income (thousands of dollars),4027382
48213,"Henderson, TX",2,Population (persons) 1,83653
48213,"Henderson, TX",3,Per capita personal income (dollars) 2,48144
48215,"Hidalgo, TX",1,Personal income (thousands of dollars),30625164
48215,"Hidalgo, TX",2,Population (persons) 1,879865
48215,"Hidalgo, TX",3,Per capita personal income (dollars) 2,34807
48217,"Hill, TX",1,Personal income (thousands of dollars),1805337
48217,"Hill, TX",2,Population (persons) 1,36378
48217,"Hill, TX",3,Per capita personal income (dollars) 2,49627
48219,"Hockley, TX",1,Personal income (thousands of dollars),1066477
48219,"Hockley, TX",2,Population (persons) 1,21265
48219,"Hockley, TX",3,Per capita personal income (dollars) 2,50152
48221,"Hood, TX",1,Personal income (thousands of dollars),3921103
48221,"Hood, TX",2,Population (persons) 1,64293
48221,"Hood, TX",3,Per capita personal income (dollars) 2,60988
48223,"Hopkins, TX",1,Personal income (thousands of dollars),1870234
48223,"Hopkins, TX",2,Population (persons) 1,37210
48223,"Hopkins, TX",3,Per capita personal income (dollars) 2,50262
48225,"Houston, TX",1,Personal income (thousands of dollars),1082732
48225,"Houston, TX",2,Population (persons) 1,21962
48225,"Houston, TX",3,Per capita personal income (dollars) 2,49300
48227,"Howard, TX",1,Personal income (thousands of dollars),1732416
48227,"Howard, TX",2,Population (persons) 1,34365
48227,"Howard, TX",3,Per capita personal income (dollars) 2,50412
48229,"Hudspeth, TX",1,Personal income (thousands of dollars),128034
48229,"Hudspeth, TX",2,Population (persons) 1,3275
48229,"Hudspeth, TX",3,Per capita personal income (dollars) 2,39094
48231,"Hunt, TX",1,Personal income (thousands of dollars),4914611
48231,"Hunt, TX",2,Population (persons) 1,103591
48231,"Hunt, TX",3,Per capita personal income (dollars) 2,47442
48233,"Hutchinson, TX",1,Personal income (thousands of dollars),984944
48233,"Hutchinson, TX",2,Population (persons) 1,20438
48233,"Hutchinson, TX",3,Per capita personal income (dollars) 2,48192
48235,"Irion, TX",1,Personal income (thousands of dollars),113995
48235,"Irion, TX",2,Population (persons) 1,1534
48235,"Irion, TX",3,Per capita personal income (dollars) 2,74312
48237,"Jack, TX",1,Personal income (thousands of dollars),408370
48237,"Jack, TX",2,Population (persons) 1,8550
48237,"Jack, TX",3,Per capita personal income (dollars) 2,47763
48239,"Jackson, TX",1,Personal income (thousands of dollars),768785
48239,"Jackson, TX",2,Population (persons) 1,15118
48239,"Jackson, TX",3,Per capita personal income (dollars) 2,50852
48241,"Jasper, TX",1,Personal income (thousands of dollars),1635683
48241,"Jasper, TX",2,Population (persons) 1,32552
48241,"Jasper, TX",3,Per capita personal income (dollars) 2,50248
48243,"Jeff Davis, TX",1,Personal income (thousands of dollars),112908
48243,"Jeff Davis, TX",2,Population (persons) 1,1959
48243,"Jeff Davis, TX",3,Per capita personal income (dollars) 2,57636
48245,"Jefferson, TX",1,Personal income (thousands of dollars),12028725
48245,"Jefferson, TX",2,Population (persons) 1,253727
48245,"Jefferson, TX",3,Per capita personal income (dollars) 2,47408
48247,"Jim Hogg, TX",1,Personal income (thousands of dollars),201291
48247,"Jim Hogg, TX",2,Population (persons) 1,4790
48247,"Jim Hogg, TX",3,Per capita personal income (dollars) 2,42023
48249,"Jim Wells, TX",1,Personal income (thousands of dollars),1867886
48249,"Jim Wells, TX",2,Population (persons) 1,38893
48249,"Jim Wells, TX",3,Per capita personal income (dollars) 2,48026
48251,"Johnson, TX",1,Personal income (thousands of dollars),9650100
48251,"Johnson, TX",2,Population (persons) 1,187511
48251,"Johnson, TX",3,Per capita personal income (dollars) 2,51464
48253,"Jones, TX",1,Personal income (thousands of dollars),769726
48253,"Jones, TX",2,Population (persons) 1,19811
48253,"Jones, TX",3,Per capita personal income (dollars) 2,38853
48255,"Karnes, TX",1,Personal income (thousands of dollars),1002299
48255,"Karnes, TX",2,Population (persons) 1,14732
48255,"Karnes, TX",3,Per capita personal income (dollars) 2,68036
48257,"Kaufman, TX",1,Personal income (thousands of dollars),8049383
48257,"Kaufman, TX",2,Population (persons) 1,158313
48257,"Kaufman, TX",3,Per capita personal income (dollars) 2,50845
48259,"Kendall, TX",1,Personal income (thousands of dollars),4693599
48259,"Kendall, TX",2,Population (persons) 1,46861
48259,"Kendall, TX",3,Per capita personal income (dollars) 2,100160
48261,"Kenedy, TX",1,Personal income (thousands of dollars),16695
48261,"Kenedy, TX",2,Population (persons) 1,339
48261,"Kenedy, TX",3,Per capita personal income (dollars) 2,49248
48263,"Kent, TX",1,Personal income (thousands of dollars),38971
48263,"Kent, TX",2,Population (persons) 1,748
48263,"Kent, TX",3,Per capita personal income (dollars) 2,52100
48265,"Kerr, TX",1,Personal income (thousands of dollars),3277561
48265,"Kerr, TX",2,Population (persons) 1,53175
48265,"Kerr, TX",3,Per capita personal income (dollars) 2,61637
48267,"Kimble, TX",1,Personal income (thousands of dollars),245393
48267,"Kimble, TX",2,Population (persons) 1,4348
48267,"Kimble, TX",3,Per capita personal income (dollars) 2,56438
48269,"King, TX",1,Personal income (thousands of dollars),22924
48269,"King, TX",2,Population (persons) 1,256
48269,"King, TX",3,Per capita personal income (dollars) 2,89547
48271,"Kinney, TX",1,Personal income (thousands of dollars),134352
48271,"Kinney, TX",2,Population (persons) 1,3122
48271,"Kinney, TX",3,Per capita personal income (dollars) 2,43034
48273,"Kleberg, TX",1,Personal income (thousands of dollars),1386647
48273,"Kleberg, TX",2,Population (persons) 1,30625
48273,"Kleberg, TX",3,Per capita personal income (dollars) 2,45278
48275,"Knox, TX",1,Personal income (thousands of dollars),171816
48275,"Knox, TX",2,Population (persons) 1,3318
48275,"Knox, TX",3,Per capita personal income (dollars) 2,51783
48277,"Lamar, TX",1,Personal income (thousands of dollars),2564461
48277,"Lamar, TX",2,Population (persons) 1,50349
48277,"Lamar, TX",3,Per capita personal income (dollars) 2,50934
48279,"Lamb, TX",1,Personal income (thousands of dollars),699822
48279,"Lamb, TX",2,Population (persons) 1,12909
48279,"Lamb, TX",3,Per capita personal income (dollars) 2,54212
48281,"Lampasas, TX",1,Personal income (thousands of dollars),1323715
48281,"Lampasas, TX",2,Population (persons) 1,22224
48281,"Lampasas, TX",3,Per capita personal income (dollars) 2,59562
48283,"La Salle, TX",1,Personal income (thousands of dollars),307035
48283,"La Salle, TX",2,Population (persons) 1,6708
48283,"La Salle, TX",3,Per capita personal income (dollars) 2,45771
48285,"Lavaca, TX",1,Personal income (thousands of dollars),1266879
48285,"Lavaca, TX",2,Population (persons) 1,20538
48285,"Lavaca, TX",3,Per capita personal income (dollars) 2,61685
48287,"Lee, TX",1,Personal income (thousands of dollars),1025844
48287,"Lee, TX",2,Population (persons) 1,17679
48287,"Lee, TX",3,Per capita personal income (dollars) 2,58026
48289,"Leon, TX",1,Personal income (thousands of dollars),869215
48289,"Leon, TX",2,Population (persons) 1,16009
48289,"Leon, TX",3,Per capita personal income (dollars) 2,54295
48291,"Liberty, TX",1,Personal income (thousands of dollars),4086461
48291,"Liberty, TX",2,Population (persons) 1,97488
48291,"Liberty, TX",3,Per capita personal income (dollars) 2,41918
48293,"Limestone, TX",1,Personal income (thousands of dollars),1058100
48293,"Limestone, TX",2,Population (persons) 1,22060
48293,"Limestone, TX",3,Per capita personal income (dollars) 2,47965
48295,"Lipscomb, TX",1,Personal income (thousands of dollars),320891
48295,"Lipscomb, TX",2,Population (persons) 1,2895
48295,"Lipscomb, TX",3,Per capita personal income (dollars) 2,110843
48297,"Live Oak, TX",1,Personal income (thousands of dollars),525623
48297,"Live Oak, TX",2,Population (persons) 1,11386
48297,"Live Oak, TX",3,Per capita personal income (dollars) 2,46164
48299,"Llano, TX",1,Personal income (thousands of dollars),1412292
48299,"Llano, TX",2,Population (persons) 1,22056
48299,"Llano, TX",3,Per capita personal income (dollars) 2,64032
48301,"Loving, TX",1,Personal income (thousands of dollars),7318
48301,"Loving, TX",2,Population (persons) 1,54
48301,"Loving, TX",3,Per capita personal income (dollars) 2,135519
48303,"Lubbock, TX",1,Personal income (thousands of dollars),16116009
48303,"Lubbock, TX",2,Population (persons) 1,314642
48303,"Lubbock, TX",3,Per capita personal income (dollars) 2,51220
48305,"Lynn, TX",1,Personal income (thousands of dollars),331473
48305,"Lynn, TX",2,Population (persons) 1,5645
48305,"Lynn, TX",3,Per capita personal income (dollars) 2,58720
48307,"McCulloch, TX",1,Personal income (thousands of dollars),355964
48307,"McCulloch, TX",2,Population (persons) 1,7522
48307,"McCulloch, TX",3,Per capita personal income (dollars) 2,47323
48309,"McLennan, TX",1,Personal income (thousands of dollars),13097052
48309,"McLennan, TX",2,Population (persons) 1,263721
48309,"McLennan, TX",3,Per capita personal income (dollars) 2,49663
48311,"McMullen, TX",1,Personal income (thousands of dollars),54712
48311,"McMullen, TX",2,Population (persons) 1,592
48311,"McMullen, TX",3,Per capita personal income (dollars) 2,92419
48313,"Madison, TX",1,Personal income (thousands of dollars),565934
48313,"Madison, TX",2,Population (persons) 1,13512
48313,"Madison, TX",3,Per capita personal income (dollars) 2,41884
48315,"Marion, TX",1,Personal income (thousands of dollars),466405
48315,"Marion, TX",2,Population (persons) 1,9620
48315,"Marion, TX",3,Per capita personal income (dollars) 2,48483
48317,"Martin, TX",1,Personal income (thousands of dollars),442215
48317,"Martin, TX",2,Population (persons) 1,5214
48317,"Martin, TX",3,Per capita personal income (dollars) 2,84813
48319,"Mason, TX",1,Personal income (thousands of dollars),229505
48319,"Mason, TX",2,Population (persons) 1,3929
48319,"Mason, TX",3,Per capita personal income (dollars) 2,58413
48321,"Matagorda, TX",1,Personal income (thousands of dollars),1847671
48321,"Matagorda, TX",2,Population (persons) 1,36339
48321,"Matagorda, TX",3,Per capita personal income (dollars) 2,50845
48323,"Maverick, TX",1,Personal income (thousands of dollars),2244943
48323,"Maverick, TX",2,Population (persons) 1,57683
48323,"Maverick, TX",3,Per capita personal income (dollars) 2,38919
48325,"Medina, TX",1,Personal income (thousands of dollars),2598719
48325,"Medina, TX",2,Population (persons) 1,52328
48325,"Medina, TX",3,Per capita personal income (dollars) 2,49662
48327,"Menard, TX",1,Personal income (thousands of dollars),96117
48327,"Menard, TX",2,Population (persons) 1,1968
48327,"Menard, TX",3,Per capita personal income (dollars) 2,48840
48329,"Midland, TX",1,Personal income (thousands of dollars),20274223
48329,"Midland, TX",2,Population (persons) 1,168257
48329,"Midland, TX",3,Per capita personal income (dollars) 2,120496
48331,"Milam, TX",1,Personal income (thousands of dollars),1153778
48331,"Milam, TX",2,Population (persons) 1,25212
48331,"Milam, TX",3,Per capita personal income (dollars) 2,45763
48333,"Mills, TX",1,Personal income (thousands of dollars),235053
48333,"Mills, TX",2,Population (persons) 1,4489
48333,"Mills, TX",3,Per capita personal income (dollars) 2,52362
48335,"Mitchell, TX",1,Personal income (thousands of dollars),322969
48335,"Mitchell, TX",2,Population (persons) 1,9042
48335,"Mitchell, TX",3,Per capita personal income (dollars) 2,35719
48337,"Montague, TX",1,Personal income (thousands of dollars),951404
48337,"Montague, TX",2,Population (persons) 1,20437
48337,"Montague, TX",3,Per capita personal income (dollars) 2,46553
48339,"Montgomery, TX",1,Personal income (thousands of dollars),46515304
48339,"Montgomery, TX",2,Population (persons) 1,650755
48339,"Montgomery, TX",3,Per capita personal income (dollars) 2,71479
48341,"Moore, TX",1,Personal income (thousands of dollars),1173579
48341,"Moore, TX",2,Population (persons) 1,21136
48341,"Moore, TX",3,Per capita personal income (dollars) 2,55525
48343,"Morris, TX",1,Personal income (thousands of dollars),572494
48343,"Morris, TX",2,Population (persons) 1,12007
48343,"Morris, TX",3,Per capita personal income (dollars) 2,47680
48345,"Motley, TX",1,Personal income (thousands of dollars),42710
48345,"Motley, TX",2,Population (persons) 1,1071
48345,"Motley, TX",3,Per capita personal income (dollars) 2,39879
48347,"Nacogdoches, TX",1,Personal income (thousands of dollars),2967318
48347,"Nacogdoches, TX",2,Population (persons) 1,64778
48347,"Nacogdoches, TX",3,Per capita personal income (dollars) 2,45807
48349,"Navarro, TX",1,Personal income (thousands of dollars),2420154
48349,"Navarro, TX",2,Population (persons) 1,53637
48349,"Navarro, TX",3,Per capita personal income (dollars) 2,45121
48351,"Newton, TX",1,Personal income (thousands of dollars),532793
48351,"Newton, TX",2,Population (persons) 1,12212
48351,"Newton, TX",3,Per capita personal income (dollars) 2,43629
48353,"Nolan, TX",1,Personal income (thousands of dollars),757192
48353,"Nolan, TX",2,Population (persons) 1,14605
48353,"Nolan, TX",3,Per capita personal income (dollars) 2,51845
48355,"Nueces, TX",1,Personal income (thousands of dollars),18944787
48355,"Nueces, TX",2,Population (persons) 1,353292
48355,"Nueces, TX",3,Per capita personal income (dollars) 2,53624
48357,"Ochiltree, TX",1,Personal income (thousands of dollars),607473
48357,"Ochiltree, TX",2,Population (persons) 1,9768
48357,"Ochiltree, TX",3,Per capita personal income (dollars) 2,62190
48359,"Oldham, TX",1,Personal income (thousands of dollars),130168
48359,"Oldham, TX",2,Population (persons) 1,1734
48359,"Oldham, TX",3,Per capita personal income (dollars) 2,75068
48361,"Orange, TX",1,Personal income (thousands of dollars),4164094
48361,"Orange, TX",2,Population (persons) 1,84666
48361,"Orange, TX",3,Per capita personal income (dollars) 2,49183
48363,"Palo Pinto, TX",1,Personal income (thousands of dollars),1473021
48363,"Palo Pinto, TX",2,Population (persons) 1,28742
48363,"Palo Pinto, TX",3,Per capita personal income (dollars) 2,51250
48365,"Panola, TX",1,Personal income (thousands of dollars),1181682
48365,"Panola, TX",2,Population (persons) 1,22556
48365,"Panola, TX",3,Per capita personal income (dollars) 2,52389
48367,"Parker, TX",1,Personal income (thousands of dollars),10424668
48367,"Parker, TX",2,Population (persons) 1,157088
48367,"Parker, TX",3,Per capita personal income (dollars) 2,66362
48369,"Parmer, TX",1,Personal income (thousands of dollars),630078
48369,"Parmer, TX",2,Population (persons) 1,9784
48369,"Parmer, TX",3,Per capita personal income (dollars) 2,64399
48371,"Pecos, TX",1,Personal income (thousands of dollars),641052
48371,"Pecos, TX",2,Population (persons) 1,15117
48371,"Pecos, TX",3,Per capita personal income (dollars) 2,42406
48373,"Polk, TX",1,Personal income (thousands of dollars),2464205
48373,"Polk, TX",2,Population (persons) 1,51877
48373,"Polk, TX",3,Per capita personal income (dollars) 2,47501
48375,"Potter, TX",1,Personal income (thousands of dollars),6424819
48375,"Potter, TX",2,Population (persons) 1,116461
48375,"Potter, TX",3,Per capita personal income (dollars) 2,55167
48377,"Presidio, TX",1,Personal income (thousands of dollars),370202
48377,"Presidio, TX",2,Population (persons) 1,6113
48377,"Presidio, TX",3,Per capita personal income (dollars) 2,60560
48379,"Rains, TX",1,Personal income (thousands of dollars),519809
48379,"Rains, TX",2,Population (persons) 1,12463
48379,"Rains, TX",3,Per capita personal income (dollars) 2,41708
48381,"Randall, TX",1,Personal income (thousands of dollars),8096047
48381,"Randall, TX",2,Population (persons) 1,144055
48381,"Randall, TX",3,Per capita personal income (dollars) 2,56201
48383,"Reagan, TX",1,Personal income (thousands of dollars),193504
48383,"Reagan, TX",2,Population (persons) 1,3222
48383,"Reagan, TX",3,Per capita personal income (dollars) 2,60057
48385,"Real, TX",1,Personal income (thousands of dollars),158876
48385,"Real, TX",2,Population (persons) 1,2817
48385,"Real, TX",3,Per capita personal income (dollars) 2,56399
48387,"Red River, TX",1,Personal income (thousands of dollars),608278
48387,"Red River, TX",2,Population (persons) 1,11561
48387,"Red River, TX",3,Per capita personal income (dollars) 2,52615
48389,"Reeves, TX",1,Personal income (thousands of dollars),750721
48389,"Reeves, TX",2,Population (persons) 1,12981
48389,"Reeves, TX",3,Per capita personal income (dollars) 2,57832
48391,"Refugio, TX",1,Personal income (thousands of dollars),362529
48391,"Refugio, TX",2,Population (persons) 1,6704
48391,"Refugio, TX",3,Per capita personal income (dollars) 2,54077
48393,"Roberts, TX",1,Personal income (thousands of dollars),44522
48393,"Roberts, TX",2,Population (persons) 1,801
48393,"Roberts, TX",3,Per capita personal income (dollars) 2,55583
48395,"Robertson, TX",1,Personal income (thousands of dollars),878523
48395,"Robertson, TX",2,Population (persons) 1,16946
48395,"Robertson, TX",3,Per capita personal income (dollars) 2,51842
48397,"Rockwall, TX",1,Personal income (thousands of dollars),8424359
48397,"Rockwall, TX",2,Population (persons) 1,116612
48397,"Rockwall, TX",3,Per capita personal income (dollars) 2,72243
48399,"Runnels, TX",1,Personal income (thousands of dollars),499119
48399,"Runnels, TX",2,Population (persons) 1,9892
48399,"Runnels, TX",3,Per capita personal income (dollars) 2,50457
48401,"Rusk, TX",1,Personal income (thousands of dollars),2333440
48401,"Rusk, TX",2,Population (persons) 1,52695
48401,"Rusk, TX",3,Per capita personal income (dollars) 2,44282
48403,"Sabine, TX",1,Personal income (thousands of dollars),463101
48403,"Sabine, TX",2,Population (persons) 1,10013
48403,"Sabine, TX",3,Per capita personal income (dollars) 2,46250
48405,"San Augustine, TX",1,Personal income (thousands of dollars),404904
48405,"San Augustine, TX",2,Population (persons) 1,7905
48405,"San Augustine, TX",3,Per capita personal income (dollars) 2,51221
48407,"San Jacinto, TX",1,Personal income (thousands of dollars),1265147
48407,"San Jacinto, TX",2,Population (persons) 1,27811
48407,"San Jacinto, TX",3,Per capita personal income (dollars) 2,45491
48409,"San Patricio, TX",1,Personal income (thousands of dollars),3534851
48409,"San Patricio, TX",2,Population (persons) 1,69767
48409,"San Patricio, TX",3,Per capita personal income (dollars) 2,50667
48411,"San Saba, TX",1,Personal income (thousands of dollars),251593
48411,"San Saba, TX",2,Population (persons) 1,5829
48411,"San Saba, TX",3,Per capita personal income (dollars) 2,43162
48413,"Schleicher, TX",1,Personal income (thousands of dollars),128956
48413,"Schleicher, TX",2,Population (persons) 1,2438
48413,"Schleicher, TX",3,Per capita personal income (dollars) 2,52894
48415,"Scurry, TX",1,Personal income (thousands of dollars),781479
48415,"Scurry, TX",2,Population (persons) 1,16837
48415,"Scurry, TX",3,Per capita personal income (dollars) 2,46414
48417,"Shackelford, TX",1,Personal income (thousands of dollars),316745
48417,"Shackelford, TX",2,Population (persons) 1,3191
48417,"Shackelford, TX",3,Per capita personal income (dollars) 2,99262
48419,"Shelby, TX",1,Personal income (thousands of dollars),1342044
48419,"Shelby, TX",2,Population (persons) 1,23984
48419,"Shelby, TX",3,Per capita personal income (dollars) 2,55956
48421,"Sherman, TX",1,Personal income (thousands of dollars),352809
48421,"Sherman, TX",2,Population (persons) 1,2789
48421,"Sherman, TX",3,Per capita personal income (dollars) 2,126500
48423,"Smith, TX",1,Personal income (thousands of dollars),14790169
48423,"Smith, TX",2,Population (persons) 1,237182
48423,"Smith, TX",3,Per capita personal income (dollars) 2,62358
48425,"Somervell, TX",1,Personal income (thousands of dollars),532405
48425,"Somervell, TX",2,Population (persons) 1,9477
48425,"Somervell, TX",3,Per capita personal income (dollars) 2,56179
48427,"Starr, TX",1,Personal income (thousands of dollars),2225248
48427,"Starr, TX",2,Population (persons) 1,65858
48427,"Starr, TX",3,Per capita personal income (dollars) 2,33789
48429,"Stephens, TX",1,Personal income (thousands of dollars),432157
48429,"Stephens, TX",2,Population (persons) 1,9433
48429,"Stephens, TX",3,Per capita personal income (dollars) 2,45813
48431,"Sterling, TX",1,Personal income (thousands of dollars),87657
48431,"Sterling, TX",2,Population (persons) 1,1380
48431,"Sterling, TX",3,Per capita personal income (dollars) 2,63520
48433,"Stonewall, TX",1,Personal income (thousands of dollars),106576
48433,"Stonewall, TX",2,Population (persons) 1,1211
48433,"Stonewall, TX",3,Per capita personal income (dollars) 2,88007
48435,"Sutton, TX",1,Personal income (thousands of dollars),226668
48435,"Sutton, TX",2,Population (persons) 1,3291
48435,"Sutton, TX",3,Per capita personal income (dollars) 2,68875
48437,"Swisher, TX",1,Personal income (thousands of dollars),504247
48437,"Swisher, TX",2,Population (persons) 1,7007
48437,"Swisher, TX",3,Per capita personal income (dollars) 2,71963
48439,"Tarrant, TX",1,Personal income (thousands of dollars),128878607
48439,"Tarrant, TX",2,Population (persons) 1,2129695
48439,"Tarrant, TX",3,Per capita personal income (dollars) 2,60515
48441,"Taylor, TX",1,Personal income (thousands of dollars),7763096
48441,"Taylor, TX",2,Population (persons) 1,143922
48441,"Taylor, TX",3,Per capita personal income (dollars) 2,53940
48443,"Terrell, TX",1,Personal income (thousands of dollars),45393
48443,"Terrell, TX",2,Population (persons) 1,721
48443,"Terrell, TX",3,Per capita personal income (dollars) 2,62958
48445,"Terry, TX",1,Personal income (thousands of dollars),527546
48445,"Terry, TX",2,Population (persons) 1,11714
48445,"Terry, TX",3,Per capita personal income (dollars) 2,45036
48447,"Throckmorton, TX",1,Personal income (thousands of dollars),101606
48447,"Throckmorton, TX",2,Population (persons) 1,1503
48447,"Throckmorton, TX",3,Per capita personal income (dollars) 2,67602
48449,"Titus, TX",1,Personal income (thousands of dollars),1515825
48449,"Titus, TX",2,Population (persons) 1,31260
48449,"Titus, TX",3,Per capita personal income (dollars) 2,48491
48451,"Tom Green, TX",1,Personal income (thousands of dollars),7110397
48451,"Tom Green, TX",2,Population (persons) 1,119231
48451,"Tom Green, TX",3,Per capita personal income (dollars) 2,59635
48453,"Travis, TX",1,Personal income (thousands of dollars),105788160
48453,"Travis, TX",2,Population (persons) 1,1308868
48453,"Travis, TX",3,Per capita personal income (dollars) 2,80824
48455,"Trinity, TX",1,Personal income (thousands of dollars),641512
48455,"Trinity, TX",2,Population (persons) 1,13832
48455,"Trinity, TX",3,Per capita personal income (dollars) 2,46379
48457,"Tyler, TX",1,Personal income (thousands of dollars),856044
48457,"Tyler, TX",2,Population (persons) 1,19898
48457,"Tyler, TX",3,Per capita personal income (dollars) 2,43022
48459,"Upshur, TX",1,Personal income (thousands of dollars),1846479
48459,"Upshur, TX",2,Population (persons) 1,41835
48459,"Upshur, TX",3,Per capita personal income (dollars) 2,44137
48461,"Upton, TX",1,Personal income (thousands of dollars),204345
48461,"Upton, TX",2,Population (persons) 1,3233
48461,"Upton, TX",3,Per capita personal income (dollars) 2,63206
48463,"Uvalde, TX",1,Personal income (thousands of dollars),1310260
48463,"Uvalde, TX",2,Population (persons) 1,24803
48463,"Uvalde, TX",3,Per capita personal income (dollars) 2,52827
