"CAINC1 County and MSA personal income summary: personal income, population, per capita personal income",,,,
"CAINC1 County and MSA personal income summary: personal income, population, per capita personal income",,,,
County,,,,
GeoFips,GeoName,LineCode,Description,2021
40071,"Kay, OK",1,Personal income (thousands of dollars),2142982
40071,"Kay, OK",2,Population (persons) 1,43715
40071,"Kay, OK",3,Per capita personal income (dollars) 2,49022
40073,"Kingfisher, OK",1,Personal income (thousands of dollars),1019381
40073,"Kingfisher, OK",2,Population (persons) 1,15223
40073,"Kingfisher, OK",3,Per capita personal income (dollars) 2,66963
40075,"Kiowa, OK",1,Personal income (thousands of dollars),378880
40075,"Kiowa, OK",2,Population (persons) 1,8404
40075,"Kiowa, OK",3,Per capita personal income (dollars) 2,45083
40077,"Latimer, OK",1,Personal income (thousands of dollars),375701
40077,"Latimer, OK",2,Population (persons) 1,9454
40077,"Latimer, OK",3,Per capita personal income (dollars) 2,39740
40079,"Le Flore, OK",1,Personal income (thousands of dollars),1949214
40079,"Le Flore, OK",2,Population (persons) 1,48603
40079,"Le Flore, OK",3,Per capita personal income (dollars) 2,40105
40081,"Lincoln, OK",1,Personal income (thousands of dollars),1546407
40081,"Lincoln, OK",2,Population (persons) 1,33846
40081,"Lincoln, OK",3,Per capita personal income (dollars) 2,45690
40083,"Logan, OK",1,Personal income (thousands of dollars),2430264
40083,"Logan, OK",2,Population (persons) 1,50900
40083,"Logan, OK",3,Per capita personal income (dollars) 2,47746
40085,"Love, OK",1,Personal income (thousands of dollars),448726
40085,"Love, OK",2,Population (persons) 1,10237
40085,"Love, OK",3,Per capita personal income (dollars) 2,43834
40087,"McClain, OK",1,Personal income (thousands of dollars),2326700
40087,"McClain, OK",2,Population (persons) 1,43535
40087,"McClain, OK",3,Per capita personal income (dollars) 2,53444
40089,"McCurtain, OK",1,Personal income (thousands of dollars),1333964
40089,"McCurtain, OK",2,Population (persons) 1,30824
40089,"McCurtain, OK",3,Per capita personal income (dollars) 2,43277
40091,"McIntosh, OK",1,Personal income (thousands of dollars),815140
40091,"McIntosh, OK",2,Population (persons) 1,19249
40091,"McIntosh, OK",3,Per capita personal income (dollars) 2,42347
40093,"Major, OK",1,Personal income (thousands of dollars),362874
40093,"Major, OK",2,Population (persons) 1,7636
40093,"Major, OK",3,Per capita personal income (dollars) 2,47521
40095,"Marshall, OK",1,Personal income (thousands of dollars),685590
40095,"Marshall, OK",2,Population (persons) 1,15552
40095,"Marshall, OK",3,Per capita personal income (dollars) 2,44084
40097,"Mayes, OK",1,Personal income (thousands of dollars),1762772
40097,"Mayes, OK",2,Population (persons) 1,39259
40097,"Mayes, OK",3,Per capita personal income (dollars) 2,44901
40099,"Murray, OK",1,Personal income (thousands of dollars),643425
40099,"Murray, OK",2,Population (persons) 1,13716
40099,"Murray, OK",3,Per capita personal income (dollars) 2,46911
40101,"Muskogee, OK",1,Personal income (thousands of dollars),2942982
40101,"Muskogee, OK",2,Population (persons) 1,66267
40101,"Muskogee, OK",3,Per capita personal income (dollars) 2,44411
40103,"Noble, OK",1,Personal income (thousands of dollars),555924
40103,"Noble, OK",2,Population (persons) 1,10941
40103,"Noble, OK",3,Per capita personal income (dollars) 2,50811
40105,"Nowata, OK",1,Personal income (thousands of dollars),419445
40105,"Nowata, OK",2,Population (persons) 1,9352
40105,"Nowata, OK",3,Per capita personal income (dollars) 2,44851
40107,"Okfuskee, OK",1,Personal income (thousands of dollars),427416
40107,"Okfuskee, OK",2,Population (persons) 1,11222
